user_id,gender,age,num_items,purchase
1000458,M,51-55,23,232568
1000460,M,46-50,23,134146
1000461,M,51-55,286,2533900
1000462,M,18-25,105,954229
1000463,M,26-35,69,400469
1000465,M,18-25,17,130271
1000466,M,26-35,117,1121881
1000469,M,36-45,27,296089
1000471,M,36-45,61,696651
1000474,M,26-35,175,1533961
1000476,M,36-45,230,2418970
1000477,M,36-45,111,1455400
1000478,M,51-55,27,246159
1000479,M,26-35,51,528144
1000481,M,46-50,104,970092
1000482,M,26-35,437,3539411
1000483,M,18-25,23,155651
1000486,M,55+,26,223784
1000490,M,0-17,43,429694
1000492,M,26-35,15,111812
1000493,M,51-55,86,847881
1000496,M,18-25,68,885377
1000498,M,36-45,95,798943
1000501,M,26-35,38,323774
1000502,M,36-45,15,133861
1000503,M,36-45,16,166198
1000504,M,26-35,52,542744
1000505,M,36-45,61,700756
1000506,M,26-35,52,456450
1000508,M,26-35,80,867619
1000509,M,26-35,407,3700604
1000510,M,18-25,62,772191
1000513,M,26-35,81,649629
1000514,M,26-35,54,611777
1000515,M,26-35,81,816456
1000522,M,26-35,30,354616
1000523,M,51-55,49,594269
1000524,M,18-25,558,5212846
1000525,M,36-45,24,245538
1000526,M,46-50,30,429409
1000529,M,36-45,63,741420
1000530,M,26-35,62,721232
1000532,M,26-35,16,188041
1000533,M,26-35,325,2940570
1000534,M,26-35,55,543185
1000535,M,36-45,11,100277
1000536,M,26-35,122,1407088
1000539,M,26-35,71,943076
1000540,M,18-25,24,225269
1000543,M,26-35,346,3645949
1000544,M,36-45,48,471881
1000545,M,36-45,19,154036
1000547,M,36-45,49,537942
1000549,M,26-35,632,6310723
1000550,M,46-50,549,5327601
1000551,M,36-45,141,1186481
1000552,M,51-55,64,676472
1000553,M,26-35,38,271979
1000554,M,26-35,18,126678
1000555,M,18-25,29,285501
1000557,M,55+,30,368912
1000560,M,46-50,80,1116681
1000563,M,26-35,195,1587214
1000564,M,46-50,23,214222
1000565,M,26-35,14,100889
1000566,M,26-35,282,2114831
1000567,M,36-45,43,692946
1000570,M,26-35,144,1217950
1000571,M,51-55,69,799254
1000574,M,26-35,11,132332
1000575,M,26-35,95,1076873
1000577,M,36-45,85,995681
1000579,M,26-35,39,370959
1000580,M,0-17,24,260686
1000581,M,51-55,33,282311
1000582,M,18-25,45,486957
1000585,M,18-25,85,885031
1000586,M,36-45,17,245578
1000587,M,26-35,200,1363990
1000589,M,18-25,17,157733
1000591,M,26-35,130,1046568
1000592,M,18-25,14,234872
1000595,M,26-35,58,543857
1000597,M,36-45,32,322597
1000598,M,36-45,18,160192
1000599,M,51-55,18,163975
1000600,M,36-45,17,138725
1000604,M,46-50,171,1807135
1000608,M,18-25,90,718566
1000609,M,26-35,27,418486
1000610,M,26-35,70,672522
1000611,M,36-45,73,778813
1000612,M,51-55,29,304029
1000613,M,36-45,50,406846
1000615,M,51-55,54,708327
1000616,M,26-35,27,304304
1000618,M,26-35,30,227620
1000620,M,18-25,94,751094
1000622,M,26-35,41,394866
1000623,M,26-35,88,1066019
1000624,M,26-35,212,2126253
1000626,M,18-25,41,499249
1000627,M,51-55,24,235462
1000631,M,36-45,180,1709733
1000632,M,46-50,16,198885
1000633,M,26-35,29,276233
1000635,M,55+,85,764450
1000636,M,18-25,56,677625
1000637,M,36-45,200,1859809
1000638,M,26-35,48,540502
1000639,M,46-50,217,2205672
1000643,M,26-35,38,231193
1000644,M,26-35,64,551849
1000645,M,36-45,28,306771
1000646,M,36-45,150,1824299
1000647,M,36-45,128,1188757
1000649,M,26-35,43,470229
1000650,M,26-35,27,353832
1000651,M,36-45,282,2690864
1000652,M,18-25,76,680293
1000654,M,51-55,115,1125876
1000661,M,46-50,41,539307
1000662,M,18-25,65,581960
1000664,M,36-45,95,940371
1000667,M,26-35,104,820045
1000669,M,26-35,243,2553500
1000670,M,26-35,55,408086
1000671,M,18-25,88,987638
1000673,M,26-35,215,1527383
1000674,M,26-35,51,695104
1000675,M,26-35,24,154311
1000676,M,18-25,221,1657010
1000677,M,51-55,109,976018
1000678,M,26-35,559,4998133
1000679,M,36-45,47,519796
1000680,M,26-35,21,187350
1000681,M,36-45,21,220000
1000682,M,26-35,47,558836
1000683,M,26-35,23,284790
1000685,M,26-35,80,621455
1000686,M,18-25,14,146182
1000688,M,55+,21,189431
1000690,M,26-35,106,1088071
1000691,M,36-45,61,603718
1000694,M,18-25,18,137199
1000698,M,18-25,136,1319767
1000700,M,51-55,19,226527
1000702,M,36-45,258,1994097
1000705,M,26-35,74,684297
1000706,M,36-45,77,575543
1000707,M,36-45,36,401749
1000708,M,26-35,6,58625
1000709,M,18-25,49,272784
1000710,M,26-35,500,4647555
1000711,M,26-35,84,847538
1000712,M,26-35,165,1789875
1000713,M,36-45,137,1379308
1000714,M,18-25,240,2766413
1000715,M,18-25,55,550777
1000717,M,26-35,23,191972
1000718,M,18-25,92,931448
1000719,M,0-17,18,137902
1000720,M,18-25,128,1099069
1000722,M,26-35,32,319721
1000723,M,26-35,13,117807
1000724,M,51-55,78,783550
1000725,M,55+,36,377891
1000727,M,36-45,146,1211978
1000728,M,26-35,95,727954
1000729,M,36-45,92,1164036
1000730,M,26-35,34,357978
1000731,M,46-50,354,2708798
1000732,M,26-35,92,851948
1000733,M,36-45,63,613928
1000734,M,26-35,25,202452
1000735,M,26-35,211,1989971
1000736,M,18-25,73,770661
1000737,M,0-17,129,1268781
1000738,M,18-25,24,228810
1000739,M,36-45,77,952905
1000740,M,26-35,24,249478
1000741,M,26-35,43,270881
1000742,M,18-25,23,291407
1000744,M,26-35,150,1590080
1000748,M,26-35,48,449478
1000749,M,36-45,251,1991515
1000753,M,0-17,138,1220645
1000754,M,36-45,101,1089328
1000756,M,36-45,22,257775
1000757,M,26-35,267,2295741
1000758,M,36-45,21,191372
1000760,M,55+,30,300758
1000761,M,18-25,12,154001
1000762,M,0-17,23,280667
1000764,M,18-25,80,901215
1000765,M,26-35,214,2157012
1000767,M,26-35,96,995674
1000769,M,46-50,41,393535
1000770,M,18-25,428,3391044
1000772,M,18-25,56,560484
1000773,M,26-35,27,259351
1000774,M,18-25,123,1215237
1000775,M,0-17,12,108504
1000777,M,18-25,271,1963785
1000778,M,18-25,94,1214811
1000779,M,26-35,28,215086
1000780,M,26-35,295,3035908
1000783,M,26-35,72,880507
1000785,M,18-25,64,789149
1000786,M,26-35,38,489448
1000787,M,18-25,62,560053
1000788,M,26-35,114,1129232
1000789,M,18-25,59,528098
1000791,M,36-45,184,1932290
1000792,M,26-35,55,529174
1000794,M,51-55,25,194747
1000796,M,51-55,240,1875821
1000802,M,26-35,295,3136298
1000803,M,18-25,31,428406
1000804,M,26-35,22,201161
1000805,M,36-45,48,407088
1000806,M,36-45,36,442504
1000807,M,18-25,16,152576
1000808,M,26-35,162,1282348
1000809,M,26-35,55,505430
1000810,M,26-35,73,833537
1000811,M,51-55,37,392815
1000812,M,26-35,49,458736
1000813,M,18-25,35,210764
1000816,M,46-50,122,1096272
1000817,M,18-25,227,2439290
1000818,M,18-25,95,957886
1000819,M,36-45,32,403519
1000820,M,36-45,65,730066
1000821,M,18-25,11,82484
1000823,M,26-35,69,573436
1000824,M,36-45,179,1537297
1000825,M,55+,21,151520
1000827,M,46-50,14,133845
1000828,M,18-25,67,523285
1000829,M,0-17,84,982611
1000830,M,36-45,96,912814
1000832,M,18-25,101,675540
1000833,M,36-45,12,126865
1000835,M,55+,15,113584
1000836,M,26-35,42,209372
1000837,M,55+,39,420822
1000838,M,51-55,95,1062593
1000839,M,26-35,435,4681205
1000843,M,26-35,66,541222
1000844,M,26-35,51,478752
1000846,M,26-35,139,1438458
1000848,M,26-35,31,347165
1000849,M,26-35,70,429999
1000850,M,36-45,294,2589159
1000851,M,18-25,46,512182
1000852,M,26-35,16,139975
1000853,M,26-35,60,775391
1000857,M,36-45,41,396537
1000858,M,36-45,108,1054410
1000859,M,26-35,85,717830
1000860,M,18-25,21,139334
1000861,M,26-35,54,456026
1000862,M,36-45,65,536555
1000863,M,26-35,38,573792
1000867,M,46-50,27,234652
1000868,M,51-55,42,267776
1000869,M,18-25,497,4255176
1000871,M,0-17,27,274355
1000872,M,51-55,60,603122
1000873,M,55+,100,941438
1000875,M,0-17,44,432366
1000877,M,26-35,356,3368150
1000878,M,18-25,24,274379
1000880,M,36-45,64,690889
1000881,M,18-25,527,4054485
1000882,M,18-25,45,632518
1000884,M,0-17,55,615705
1000885,M,36-45,33,367837
1000889,M,46-50,823,5499872
1000890,M,18-25,120,1312940
1000891,M,26-35,132,1246592
1000892,M,36-45,16,178414
1000894,M,18-25,40,520020
1000895,M,51-55,39,281695
1000896,M,18-25,41,366027
1000897,M,26-35,101,974990
1000898,M,26-35,14,146304
1000903,M,55+,49,424531
1000904,M,36-45,143,1226842
1000906,M,0-17,12,92214
1000909,M,46-50,45,469009
1000911,M,51-55,312,3102034
1000913,M,26-35,27,288043
1000915,M,26-35,51,441432
1000917,M,51-55,22,273438
1000920,M,18-25,52,542161
1000921,M,26-35,88,855629
1000922,M,55+,208,2096679
1000923,M,26-35,27,199197
1000924,M,51-55,109,1139632
1000926,M,0-17,65,703571
1000929,M,26-35,198,1951310
1000930,M,26-35,53,549999
1000933,M,46-50,33,309642
1000936,M,18-25,48,449050
1000937,M,26-35,202,2182748
1000940,M,0-17,76,607331
1000944,M,36-45,29,289863
1000945,M,46-50,102,916637
1000949,M,51-55,208,2737633
1000950,M,36-45,32,329631
1000951,M,46-50,14,158099
1000952,M,55+,97,848839
1000953,M,51-55,119,1532454
1000956,M,36-45,59,560005
1000957,M,36-45,177,1782588
1000958,M,36-45,80,785753
1000959,M,51-55,54,556160
1000960,M,0-17,67,671146
1000961,M,18-25,26,231858
1000963,M,26-35,239,2166829
1000964,M,26-35,38,277524
1000966,M,55+,88,702763
1000968,M,51-55,34,347033
1000970,M,26-35,287,2740505
1000971,M,26-35,127,1272979
1000972,M,46-50,21,185059
1000974,M,36-45,38,409260
1000975,M,36-45,230,2039720
1000976,M,36-45,33,308773
1000977,M,26-35,153,1461912
1000978,M,18-25,20,187750
1000979,M,0-17,43,545760
1000980,M,26-35,74,648108
1000981,M,26-35,117,961178
1000984,M,51-55,385,3393955
1000985,M,26-35,92,1207140
1000988,M,51-55,40,346054
1000989,M,51-55,26,206362
1000990,M,18-25,54,492476
1000993,M,26-35,36,303318
1000996,M,26-35,169,2012621
1000997,M,0-17,17,165351
1000998,M,46-50,85,829402
1000999,M,26-35,231,2312495
1001002,M,51-55,35,333246
1001003,M,26-35,17,213990
1001004,M,26-35,269,2406102
1001005,M,36-45,54,672401
1001006,M,18-25,23,222013
1001008,M,36-45,30,264365
1001009,M,51-55,29,260814
1001010,M,26-35,575,3770941
1001011,M,26-35,25,259539
1001013,M,55+,28,221755
1001015,M,36-45,740,6511314
1001016,M,55+,88,724997
1001017,M,36-45,312,2306041
1001018,M,18-25,70,863450
1001019,M,36-45,517,3786677
1001021,M,36-45,86,993817
1001022,M,26-35,78,585434
1001023,M,55+,22,164556
1001025,M,26-35,22,196993
1001027,M,18-25,26,261249
1001029,M,26-35,161,1096528
1001030,M,26-35,90,1187018
1001031,M,36-45,101,1486649
1001032,M,51-55,57,542563
1001033,M,26-35,106,970506
1001035,M,18-25,63,616438
1001036,M,36-45,33,341392
1001037,M,46-50,19,140292
1001040,M,26-35,136,1447480
1001041,M,46-50,53,593181
1001042,M,36-45,27,206519
1001044,M,26-35,78,731594
1001047,M,18-25,42,548784
1001048,M,36-45,25,210284
1001049,M,46-50,14,127723
1001050,M,26-35,297,2128292
1001053,M,36-45,210,2179724
1001054,M,0-17,70,690207
1001055,M,36-45,50,378094
1001056,M,0-17,44,329556
1001057,M,46-50,92,943918
1001058,M,26-35,199,2114670
1001060,M,18-25,51,557358
1001061,M,46-50,26,244118
1001062,M,51-55,117,1174704
1001063,M,36-45,55,697671
1001064,M,26-35,58,619392
1001066,M,46-50,74,609772
1001067,M,36-45,55,587122
1001069,M,26-35,355,2503980
1001071,M,51-55,78,995665
1001074,M,46-50,99,812544
1001077,M,26-35,177,1766607
1001079,M,26-35,75,788064
1001081,M,18-25,25,275184
1001083,M,55+,14,98430
1001084,M,0-17,105,955458
1001086,M,18-25,174,1891268
1001087,M,26-35,233,2229949
1001089,M,36-45,42,503267
1001090,M,26-35,44,434848
1001091,M,18-25,18,157346
1001093,M,51-55,40,503654
1001096,M,0-17,137,863890
1001097,M,18-25,89,868582
1001098,M,36-45,18,191883
1001099,M,26-35,107,1004085
1001100,M,26-35,279,1352196
1001101,M,36-45,298,2685259
1001102,M,18-25,15,64520
1001104,M,36-45,36,320630
1001106,M,18-25,43,459086
1001108,M,55+,25,244289
1001109,M,18-25,118,892989
1001112,M,18-25,377,3237946
1001113,M,18-25,180,1977904
1001116,M,26-35,82,639799
1001117,M,18-25,431,4315927
1001118,M,51-55,16,122962
1001119,M,36-45,234,2399110
1001120,M,18-25,402,3591478
1001121,M,55+,154,1537625
1001122,M,55+,65,649956
1001124,M,26-35,227,2110422
1001126,M,55+,14,122956
1001127,M,26-35,75,756536
1001128,M,26-35,286,2290727
1001129,M,36-45,65,700787
1001130,M,18-25,159,1578763
1001131,M,55+,54,625170
1001132,M,18-25,93,1324366
1001133,M,18-25,93,1022810
1001134,M,18-25,85,1008845
1001135,M,51-55,102,1248725
1001137,M,18-25,299,2709477
1001138,M,18-25,50,463795
1001139,M,26-35,108,1140991
1001142,M,18-25,149,1263960
1001143,M,51-55,29,284304
1001145,M,51-55,36,267263
1001147,M,26-35,178,1559739
1001148,M,36-45,34,250020
1001149,M,26-35,52,479990
1001151,M,26-35,181,1929222
1001152,M,18-25,82,675117
1001153,M,18-25,50,283359
1001155,M,26-35,105,1186426
1001159,M,18-25,75,630441
1001160,M,18-25,61,475062
1001161,M,26-35,54,503196
1001163,M,0-17,38,449255
1001165,M,26-35,81,819886
1001166,M,55+,13,130727
1001169,M,26-35,65,374677
1001170,M,55+,146,1320132
1001176,M,55+,75,905104
1001178,M,55+,18,124043
1001179,M,51-55,135,1436625
1001181,M,36-45,862,6387961
1001182,M,0-17,207,1804464
1001183,M,36-45,113,970956
1001186,M,18-25,119,1202425
1001188,M,46-50,15,226427
1001189,M,26-35,20,208527
1001190,M,46-50,17,178301
1001193,M,26-35,153,1129576
1001198,M,0-17,61,659844
1001199,M,51-55,104,951485
1001201,M,18-25,37,354776
1001202,M,36-45,279,2654016
1001204,M,26-35,70,679664
1001208,M,26-35,30,249937
1001209,M,36-45,135,1180229
1001210,M,26-35,25,320125
1001211,M,18-25,235,2347688
1001214,M,55+,27,184586
1001215,M,36-45,64,859580
1001216,M,26-35,101,1181635
1001217,M,26-35,34,381912
1001218,M,55+,120,1093139
1001219,M,26-35,134,1662783
1001220,M,0-17,108,920860
1001221,M,18-25,132,1273041
1001222,M,36-45,41,309290
1001223,M,26-35,75,726709
1001224,M,51-55,338,3286428
1001225,M,46-50,14,154407
1001226,M,18-25,18,120297
1001227,M,51-55,76,680959
1001228,M,26-35,137,1434122
1001230,M,26-35,148,1700665
1001231,M,26-35,59,653641
1001234,M,18-25,11,175458
1001237,M,18-25,16,142872
1001241,M,0-17,116,1173447
1001243,M,36-45,207,1818755
1001244,M,26-35,296,3056483
1001246,M,18-25,337,3477038
1001247,M,36-45,18,228690
1001249,M,36-45,13,171624
1001250,M,51-55,14,145794
1001251,M,26-35,30,207237
1001252,M,55+,77,717733
1001255,M,26-35,146,1251705
1001256,M,26-35,16,176868
1001258,M,46-50,24,360940
1001259,M,36-45,34,384656
1001260,M,26-35,283,2678394
1001261,M,18-25,115,1118316
1001262,M,26-35,101,771592
1001263,M,0-17,169,1121150
1001264,M,26-35,405,3888792
1001266,M,26-35,407,3194568
1001267,M,26-35,94,908750
1001268,M,51-55,111,1207532
1001270,M,26-35,16,122944
1001272,M,18-25,154,1451777
1001273,M,36-45,202,1773658
1001274,M,46-50,347,3293478
1001275,M,51-55,14,141776
1001276,M,36-45,41,337409
1001278,M,18-25,36,380799
1001279,M,36-45,197,1362801
1001280,M,0-17,36,300384
1001281,M,26-35,84,606067
1001284,M,46-50,273,2550856
1001285,M,36-45,606,5805379
1001286,M,36-45,36,251286
1001289,M,46-50,24,321532
1001292,M,26-35,26,220203
1001293,M,26-35,44,277877
1001296,M,0-17,31,284759
1001297,M,26-35,275,2564585
1001298,M,36-45,342,3328461
1001299,M,26-35,137,1564596
1001300,M,0-17,87,664613
1001302,M,18-25,36,464767
1001303,M,26-35,379,3163252
1001304,M,26-35,49,623700
1001305,M,46-50,16,236269
1001306,M,26-35,246,2740370
1001307,M,55+,16,185557
1001311,M,18-25,95,1034576
1001312,M,26-35,85,855615
1001313,M,18-25,17,175294
1001315,M,36-45,57,603190
1001316,M,51-55,19,131589
1001317,M,46-50,436,3960303
1001320,M,26-35,70,999365
1001322,M,55+,230,2028806
1001324,M,36-45,60,610061
1001325,M,26-35,163,1746087
1001327,M,0-17,40,351242
1001328,M,36-45,81,1115881
1001329,M,18-25,235,2180575
1001331,M,46-50,96,784036
1001332,M,26-35,17,144052
1001333,M,26-35,299,3065866
1001334,M,51-55,36,376662
1001335,M,36-45,172,1262318
1001337,M,55+,40,332640
1001338,M,26-35,75,991662
1001339,M,36-45,115,893314
1001340,M,26-35,451,2653719
1001341,M,18-25,51,244581
1001342,M,36-45,51,415660
1001343,M,36-45,153,1621007
1001346,M,36-45,18,171720
1001349,M,51-55,23,417743
1001352,M,36-45,72,668248
1001353,M,0-17,35,291632
1001357,M,46-50,95,480023
1001358,M,36-45,128,1411223
1001359,M,36-45,51,479765
1001360,M,26-35,58,561977
1001362,M,36-45,125,1193668
1001366,M,0-17,78,652647
1001367,M,26-35,119,1079707
1001369,M,26-35,227,2377019
1001370,M,36-45,80,701728
1001372,M,0-17,37,324831
1001374,M,51-55,51,436502
1001377,M,36-45,299,2559727
1001380,M,0-17,141,1401331
1001381,M,18-25,42,291370
1001384,M,18-25,13,138191
1001388,M,55+,37,452726
1001389,M,26-35,242,2473249
1001390,M,36-45,176,1714252
1001391,M,36-45,121,1038116
1001392,M,46-50,135,1312252
1001393,M,18-25,63,655561
1001395,M,26-35,162,1735893
1001397,M,36-45,29,303420
1001399,M,18-25,143,1436906
1001400,M,26-35,38,390224
1001402,M,18-25,33,332193
1001404,M,51-55,192,1221368
1001405,M,55+,38,298423
1001406,M,26-35,13,104679
1001408,M,26-35,82,928115
1001409,M,18-25,47,559455
1001410,M,51-55,47,503410
1001411,M,36-45,35,300643
1001412,M,26-35,12,117304
1001413,M,18-25,98,1016165
1001414,M,18-25,52,741948
